table_id,section_label,marker,text,src_row
Mt474,課程第一號表,1,"本省初等普通教育,過去有小學校與公學校之分,民國三十年三月始一律改為國民學校.最初省民(包括高山族)初等教育,始於芝山巖之日語講習,經過官立國語練習所階段,始改為公學校,收容不常用日語之本省兒童.其制度亦時有變更,至民國十一年始與公立小學校制度同時確立.公學校一般經費由各市街庄支出,教員薪俸由州廳負擔.又警務局主管之高山族教育所,由警察兼任教員,係民國前八年所創設.公學校入學年齡規定為滿六歲以上,修業年限分為六年四年二種.教科書由總督府編輯,六年制公學校教學科目,多與小學校相同,漢文原係隨意科,「九一八q」事變以後禁止教授.所謂小學校,於民國前十五年附設於臺北國語學校,專收日人,民國十一年規定經費由市街庄或州廳負擔,並給予學生住宿及交通之便利.至民國二十五年,日籍學齡兒童就學者已達百分之九十九,修業年限尋常小學校為六年,本省人能用日語者,亦許入學,但人數極少,僅佔學生總數百分之五左右.以上二種學校,後改為國民學校,分初等科及高等科,並得單獨設置,修業年限,初等科六年、高等科二年,高等科畢業後得入特修科,修業年限一年.國民學校分實施課程第一號表,第二號表及第三號表三種.課程第一號表之國民學校,即以前之小學校,收容日本兒童及本省人能用日語者.課程第二號表及第三號表之國民學校即以前之公學校,收容本省籍兒童.就中課程第三號表者,專收高山族兒童,不設高等科,警務局主管之高山族教育所仍舊.光復後,改革不平等之教育制度,原有山地教育所,國民學校分教場,一律改為國民學校,並廢止原有國民學校第一第二及第三課程表之別.",56
Mt475,,1,"盲啞學校臺北臺南各有一所,原為私立,臺南於民國十一年,臺北於民國十七年改為州立.對於失明及聾啞者,施以普通教育,授以生活所必需之技藝.內分普通科及技藝科,必要時得設專修科.修業年限普通科須就六年以內定之,技藝科須就五年以內定之,專修科須就三年以內定之.光復後改稱省立臺北盲啞學校及省立臺南盲啞學校.",31
Mt476,,1,"特種學校均為私立,以教授一般相當高等普通教育或職業技能者,類似私立中學校、實業學校,惟不受學制之限制.",54
Mt477,,1,"原名書房係本省人私設以臺語教授漢文者.日人統治時代為加強奴化教育,取締書房之設立,故逐年減少,至民國二十八年僅餘十七所,翌年全部被迫停止.",48
Mt478,,1,"本省幼稚園設立於民國前八年.後逐漸發展,至民國三十三年計達九十五所,惟公立者僅有二所,餘均私立.",48
Mt479,,1,"山地教育所係日人統治時代,對高山族兒童教育措施.由警務局會同文教局主持,教員則以警察兼充.修業年限四年,至民國三十二年,始實施六學年制度.此種帶有岐視性質之教育,光復後一律改為國民學校,授以同等課程,教育經費亦直接由省庫支撥並選拔優良兒童,公費升學各中學及師範學校.",38
Mt480,,1,閱覽人數不包括兒童閱覽數字.,45
Mt480,,2,民國前五年及民國前四年停止圖書閱覽.,45
Mt481,本省人(2),1,學齡兒童以滿六歲至十四歲者計算。,34
Mt481,本省人(2),2,民國十年度以前不包括高山族學齡兒童。,34
Mt481,日本人,1,學齡兒童以滿六歲至十四歲者計算。,70
Mt481,日本人,2,民國十年度以前不包括高山族學齡兒童。,70
Mt482,,1,民國三十一年度以前係理農學部事實。,46
Mt482,,2,民國十八年度以前普通科包括演習科、講習科人數並包括女生數。,46
Mt482,,3,民國十八年度以前尋常科包括高等科人數。,46
Mt482,,4,係女生數。,46
Mt484,,1,公立係指州廳以下各地方機關所設立者。,52
Mt484,,2,助產士欄中包括產婆及助產婦。,52
Mt485,,1,本表民國二十七年以後，包括臺北帝國大學附屬醫院數字。,45
Mt485,,2,"治療延人日數對於住院患者係計其住院日數，對於門診患者屬內科者則計其服藥日數數，屬內科以外者不論其按日受療與否，均以其治療全程計算,同時並加算治療最終日交付之服劑日數。",45
Mt487-1,民國前二年至民國十九年,1,本表各年疾病人數中包括上年遺留人數。,29
Mt487-2,民國二十年至民國三十一年(2),1,本表各年疾病人數中包括上年遺留人數。,35
Mt487-2,民國二十年至民國三十一年(2),2,民國二十七年以後各年統計與表485所載不符，係以原本未將臺北帝國大學附屬醫院數字列入。,35
Mt488,民國前七年至民國十九年,1,本表各年疾病人數中包括上年遺留人數，民國前三年以前各年且包括住院人數。,35
Mt488,民國二十年至三十一年(2),1,本表各年疾病人數中包括上年遺留人數，民國前三年以前各年且包括住院人數。,92
Mt488,民國二十年至三十一年(2),2,民國二十七年以後各年總計與表485所載不符，係以原本未將臺北帝國大學附屬醫院數字列入。,92
Mt489,民國前十五年至民國十九年,1,"本表各年疾病人數中包括上年遺留人數,民國前八年以前各年且包括省立醫院診療人數.",45
Mt489,民國前十五年至民國十九年,2,民國前十五年至民國前十三年總計欄中未加算骨及關節病數字.,45
Mt489,民國二十年至二十九年,1,"本表各年疾病人數中包括上年遺留中數,民國前八年以前各年且包括省立醫院診療人數.",104
Mt489,民國二十年至二十九年,2,"本年總計與細數之和不符係原本錯誤,無法修正,姑仍其舊.",104
Mt489,民國二十年至二十九年,3,"本年總計與表486總計不符係原本錯誤,無法修正,姑仍其舊.",104
Mt490,,1,本欄民國十四年以前各年數字包括於傷寒欄內。,52
Mt490,,2,流行性腦脊髓膜炎係民國七年六月始由總督府令指定為法定傳染病。,52
Mt490,,3,流行性腦膜炎係民國二十五年十月始由總督府令指定為法定傳染病。,52
Mt491,,1,記有「０」號之各欄表示有患者而無死亡者。,52
Mt492,民國十五年至二十九年(1),1,係受檢患者數.,57
Mt493,民國前六年至民國三十一年,1,"本欄民國前六年至民國十八年第一、二期係指臺灣種痘規則中第一、二回種痘而言.該規則中所規定之第一回係嬰孩出生後未滿一年之內所施種者,第二回係於第一回種痘無反應時再度施種者.各年中常有第二回總數較第一回無反應為多者,係因包括上年未及再種而延至本年再種人數所致.民國十九年以後之第一期佈種則指對於嬰孩自出生日起至次年六月間所種牛痘而言,同時包括無反應者於次年六月前再種人數.第二期佈種係對於虛年齡十歲兒童所種者,同時包括無反應者於次年十二月前再種人數.",62
Mt495,,1,本省總人口數係根據前臺灣總督府各年統計書材料刊列。,43
Mt495,,2,民國二十三年以後各年係年度底資料。,43
